April 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 129 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",64.8,92,1.176,63.6
AL-003,"Baldwin County",67.6,94,1.221,66.4
AL-005,"Barbour County",64.6,72,0.094,64.5
AL-007,"Bibb County",62.7,69,0.208,62.5
AL-009,"Blount County",59.7,49,-0.647,60.3
AL-011,"Bullock County",63.9,72,0.087,63.8
AL-013,"Butler County",65,78,0.577,64.4
AL-015,"Calhoun County",61,73,0.336,60.7
AL-017,"Chambers County",61,58,-0.259,61.3
AL-019,"Cherokee County",60,57,-0.372,60.4
AL-021,"Chilton County",62.9,76,0.494,62.4
AL-023,"Choctaw County",65,79,0.623,64.4
AL-025,"Clarke County",65.4,79,0.722,64.7
AL-027,"Clay County",61.2,80,0.649,60.6
AL-029,"Cleburne County",60.4,79,0.749,59.7
AL-031,"Coffee County",65.3,70,0.159,65.1
AL-033,"Colbert County",59.2,51,-0.629,59.8
AL-035,"Conecuh County",65.5,72,0.365,65.1
AL-037,"Coosa County",62.7,82,0.74,62
AL-039,"Covington County",65.8,77,0.453,65.3
AL-041,"Crenshaw County",64.7,76,0.405,64.3
AL-043,"Cullman County",59.2,46,-0.874,60.1
AL-045,"Dale County",65.6,73,0.196,65.4
AL-047,"Dallas County",65.2,91,1.206,64
AL-049,"DeKalb County",58.9,57,-0.295,59.2
AL-051,"Elmore County",64,78,0.675,63.3
AL-053,"Escambia County",66.6,88,0.895,65.7
AL-055,"Etowah County",60.2,55,-0.39,60.6
AL-057,"Fayette County",61.7,64,0.006,61.7
AL-059,"Franklin County",59.4,57,-0.376,59.8
AL-061,"Geneva County",66.2,76,0.343,65.9
AL-063,"Greene County",63.2,59,-0.396,63.6
AL-065,"Hale County",63.4,63,-0.037,63.4
AL-067,"Henry County",65.9,76,0.466,65.4
AL-069,"Houston County",66.8,78,0.51,66.3
AL-071,"Jackson County",59.6,70,0.159,59.4
AL-073,"Jefferson County",61.8,72,0.34,61.5
AL-075,"Lamar County",62,71,0.192,61.8
AL-077,"Lauderdale County",58.5,46,-0.973,59.5
AL-079,"Lawrence County",58.8,42,-1.148,59.9
AL-081,"Lee County",61.7,50,-0.735,62.4
AL-083,"Limestone County",58.9,48,-0.873,59.8
AL-085,"Lowndes County",65.7,90,1.33,64.4
AL-087,"Macon County",63.1,56,-0.397,63.5
AL-089,"Madison County",59.3,55,-0.465,59.8
AL-091,"Marengo County",64.4,72,0.347,64.1
AL-093,"Marion County",60.6,71,0.081,60.5
AL-095,"Marshall County",59.7,54,-0.412,60.1
AL-097,"Mobile County",67.5,95,1.308,66.2
AL-099,"Monroe County",65.7,80,0.824,64.9
AL-101,"Montgomery County",65.2,85,1.052,64.1
AL-103,"Morgan County",59.2,45,-0.891,60.1
AL-105,"Perry County",63.7,73,0.384,63.3
AL-107,"Pickens County",62.5,60,-0.334,62.8
AL-109,"Pike County",64.5,71,0.13,64.4
